                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3717,                 3.7522,                 1.5128,                0.59918,                0.75834,                0.73086,                0.44981,                 1.2678,                 1.6383,                 1.4482,             0.00030116,             0.00030116,             0.00030116
                      2,                 1.2246,                 1.3315,                 1.3953,                0.72376,                0.76899,                0.78448,                0.50844,                 1.2546,                  1.502,                 1.3955,             0.00054435,             0.00054435,             0.00054435
                      3,                 1.2059,                 1.1763,                 1.3848,                0.70679,                0.81575,                 0.8154,                0.54951,                 1.1629,                  1.079,                 1.3709,             0.00072755,             0.00072755,             0.00072755
                      4,                 1.1398,                 1.0013,                 1.3366,                0.75239,                0.89682,                0.87593,                0.61673,                 1.0864,                0.91705,                 1.2827,             0.00063903,             0.00063903,             0.00063903
                      5,                 1.0973,                0.87592,                 1.3021,                0.81085,                0.85675,                0.89076,                0.63099,                 1.0538,                0.89581,                 1.2637,             0.00063903,             0.00063903,             0.00063903
                      6,                 1.0667,                0.82361,                 1.2813,                0.78397,                0.91163,                0.89263,                 0.6227,                 1.0765,                0.80155,                 1.2544,             0.00054904,             0.00054904,             0.00054904
                      7,                0.99967,                0.74557,                 1.2249,                0.78166,                0.90532,                0.89546,                0.66432,                 1.0023,                0.79743,                 1.2248,             0.00045904,             0.00045904,             0.00045904
                      8,                0.93304,                 0.6633,                 1.1965,                 0.8478,                0.87056,                 0.9152,                0.68631,                0.96139,                 0.6832,                 1.1923,             0.00036905,             0.00036905,             0.00036905
                      9,                0.88714,                0.60951,                 1.1562,                0.82986,                 0.8916,                0.90896,                0.69784,                0.92177,                0.72556,                 1.1549,             0.00027906,             0.00027906,             0.00027906
                     10,                0.84231,                0.57387,                 1.1299,                0.83549,                 0.9222,                0.93117,                 0.7167,                0.85718,                0.65359,                 1.1262,             0.00018907,             0.00018907,             0.00018907
